tau,ell=1,ell=2,ell=4,ell=8,ell=16,ell=20
0.1,0.0061573282536114,0.0060518875042754,0.0058323269888461,0.005448909538536,0.0047472094579976,0.004447295005428
0.0694444444444444,0.0062474890568333,0.0060846738082903,0.0057210341291469,0.0051259098854571,0.0040231589560404,0.0035691946267899
0.0485436893203883,0.0073891372808546,0.0070871924131958,0.0064694064671294,0.0055000860683054,0.0038072758172558,0.0031617339085658
0.0335570469798657,0.0071049559544335,0.006663351317814,0.0058848593473088,0.0046391016571643,0.0027251449519537,0.0020701308080051
0.0233644859813084,0.004250822780625,0.0038958132211393,0.0032375434478079,0.0022958212386129,0.0010907814336749,0.0007508775935913
0.0162337662337662,0.004326119845665,0.0037930238658734,0.0029781846263571,0.0018101124875463,0.0006502882455774,0.0003941928184897
0.0112866817155756,0.0058266974530665,0.0048767122040542,0.0033471445343702,0.0017512224139323,0.0003965820062599,0.0001906833042142
0.0078492935635792,0.0065956668265579,0.0050482722484867,0.0030090613661128,0.0010934997312976,0.0001335775808384,4.5280305310497993e-05
0.0054585152838427,0.0054938749705869,0.0038485823238827,0.0018528104569537,0.0004608735593031,2.161071818049968e-05,4.746299377560621e-06
0.003793626707132,0.0038334037126404,0.0023042823146124,0.0007447160073558,0.0001030101184631,1.315454518190355e-06,1.489254724459268e-07
0.0026371308016877,0.0032002313799445,0.0015556454819529,0.00028777171402,1.633937808524962e-05,3.437048998986546e-08,1.426338080922338e-09
0.00183284457478,0.0028285103519669,0.000955879652633,9.858426598763744e-05,1.4966856635883774e-06,2.1113782812390056e-10,3.216491732961256e-12
0.0012742099898063,0.0003979973539496,9.470525615122696e-05,3.615110720020447e-06,9.398043823315904e-09,1.4515661317003918e-12,1.579304582259053e-12
0.0008858965272856,0.0006249900101296,7.418542795554583e-05,8.143207651058691e-07,2.1163435314054615e-10,2.0244500965813013e-12,1.963023219416303e-12
0.0006158393890873,0.0003127495840901,1.733632560529425e-05,4.4065548574549615e-08,3.5127066482294118e-12,3.988964211689526e-12,3.101236068461905e-12
0.0004281188457915,0.0002313654886347,1.3101206961337632e-05,3.2097448786506266e-08,5.335445125594856e-12,5.148088958625856e-12,5.6291102994322296e-12
0.0002976367640931,0.0002625343134576,3.186601741090493e-05,1.6980533963327705e-07,8.620154512423468e-12,9.764603311673682e-12,7.759724335098209e-12
0.0002069108214359,0.0010158975277134,4.473664115281472e-05,6.209411852424957e-07,5.2756894206234406e-11,1.4310966271636692e-11,1.4853990612063262e-11
0.0001438434982738,0.0063465154127412,0.0006757468143147,1.3008021770513995e-05,2.899141179849216e-09,2.4736282225415088e-11,2.4308858651626405e-11
0.0001,0.017039338414647,0.0022374986101422,5.443139235703155e-05,2.1993997867829893e-08,4.2856340533420706e-11,4.6494157746325157e-11
