tau,CN H1L2 relative error,leapfrog H1L2 relative error,DSTLP H1L2 relative error,DSTLP - CN H1L2 relative error,O(tau^2)
0.1,1.1104804684425296,inf,1.1117454218699336,0.005448909538536,10.000000000000002
0.0694444444444444,1.590751417784969,,1.5894456415328742,0.0051259098854571,4.8225308641975255
0.0485436893203883,1.4188948440290432,,1.4228807668892531,0.0055000860683054,2.3564897728343808
0.0335570469798657,1.449539686706319,,1.4519010948801854,0.0046391016571643,1.1260754020089139
0.0233644859813084,1.359924735641079,,1.3606542411816078,0.0022958212386129,0.5458992051707567
0.0162337662337662,1.0308860968591018,,1.030814631406975,0.0018101124875463,0.26353516613256767
0.0112866817155756,0.5981284993875877,,0.5979028448823187,0.0017512224139323,0.12738918414870856
0.0078492935635792,0.3107932788737447,,0.3106991723505038,0.0010934997312976,0.06161140944724584
0.0054585152838427,0.1545034839374355,,0.1544818723088388,0.0004608735593031,0.02979538910394435
0.003793626707132,0.0761494519765053,,0.0761469872207383,0.0001030101184631,0.014391603593065183
0.0026371308016877,0.0381852618408071,,0.0381850643962507,1.633937808524962e-05,0.006954458865210011
0.00183284457478,0.0189572779818387,,0.018957268825506,1.4966856635883774e-06,0.003359319235300479
0.0012742099898063,0.0095210522804499,,0.0095210522522249,9.398043823315904e-09,0.001623611098122171
0.0008858965272856,0.0047927373111089,,0.0047927373123348,2.1163435314054615e-10,0.0007848126570566858
0.0006158393890873,0.002427446736759,,0.002427446737299,3.5127066482294118e-12,0.0003792581531514189
0.0004281188457915,0.0012376584704167,,0.0012376584717261,5.335445125594856e-12,0.00018328574612184616
0.0002976367640931,0.0006345984613827,1e20,0.0006345984608508,8.620154512423468e-12,8.858764333981165e-05
0.0002069108214359,0.0003264414706462,0.0001819547973302,0.0003264414704446,5.2756894206234406e-11,4.2812088027278896e-05
0.0001438434982738,0.0001667774457859,0.0001019102865922,0.0001667774429334,2.899141179849216e-09,2.0690951995644707e-05
0.0001,7.829826081893877e-05,6.369534099626861e-05,7.829826483893153e-05,2.1993997867829893e-08,1e-05
