tau,CN H1L2 relative error,leapfrog H1L2 relative error,DSTLP H1L2 relative error,DSTLP - CN H1L2 relative error,O(tau^2)
0.1,1.1104804704553397,,1.1104804704548568,1.6701797373237793e-12,10.000000000000002
0.0694444444444444,1.590751415574273,,1.5907514155735225,2.8332822036220578e-12,4.8225308641975255
0.0485436893203883,1.4188948430423514,,1.4188948444330434,1.9421355536830976e-08,2.3564897728343808
0.0335570469798657,1.4495396874497906,,1.4495396860332983,2.2060394760802092e-08,1.1260754020089139
0.0233644859813084,1.3599247375207644,,1.3599247350118422,1.971894337693844e-08,0.5458992051707567
0.0162337662337662,1.0308861106409437,,1.030886114058401,1.4590013822968784e-08,0.26353516613256767
0.0112866817155756,0.5981285284281483,,0.5981285307191229,8.456658348616476e-09,0.12738918414870856
0.0078492935635792,0.3107933167380401,,0.3107933170455956,2.5675277378930064e-09,0.06161140944724584
0.0054585152838427,0.1545035267225116,,0.1545035267141495,1.3319789216532283e-09,0.02979538910394435
0.003793626707132,0.0761494915311686,,0.0761494915197371,6.08502094064013e-10,0.014391603593065183
0.0026371308016877,0.038185313648006,,0.0381853136477819,8.459086674322513e-11,0.006954458865210011
0.00183284457478,0.0189573500220269,,0.0189573500205915,8.409109449524503e-12,0.003359319235300479
0.0012742099898063,0.0095212074390731,,0.0095212074356396,8.799632503314607e-12,0.001623611098122171
0.0008858965272856,0.0047930050555378,,0.0047930050566986,3.828164510965593e-12,0.0007848126570566858
0.0006158393890873,0.0024277052069333,,0.0024277052059932,4.596650306294549e-12,0.0003792581531514189
0.0004281188457915,0.00123831580953,,0.0012383158095044,6.954617454541237e-12,0.00018328574612184616
0.0002976367640931,0.0006359460557946,,0.000635946055046,1.042868250703681e-11,8.858764333981165e-05
0.0002069108214359,0.0003288420297423,,0.000328842032986,1.7931104520108807e-11,4.2812088027278896e-05
0.0001438434982738,0.000171270478462,,0.0001712704805575,2.881569812650494e-11,2.0690951995644707e-05
0.0001,8.978651210666062e-05,1e20,8.978651326234555e-05,5.0783635792612027e-11,1e-05
