tau,CN H1L2 relative error,leapfrog H1L2 relative error,DSTLP H1L2 relative error,DSTLP - CN H1L2 relative error,O(tau^2)
0.1,1.1104804701133737,,1.1104804701136983,1.7905815760283046e-12,10.000000000000002
0.0694444444444444,1.590751415110979,,1.590761901418779,3.699147928593701e-05,4.8225308641975255
0.0485436893203883,1.4188948424153396,,1.4188822710314288,2.888572688452297e-05,2.3564897728343808
0.0335570469798657,1.4495396869626826,,1.4495416571346396,2.593939199552635e-05,1.1260754020089139
0.0233644859813084,1.3599247370691985,,1.3599352301086058,2.180272372648911e-05,0.5458992051707567
0.0162337662337662,1.0308861103177451,,1.0308914925684678,1.225795122468656e-05,0.26353516613256767
0.0112866817155756,0.5981285282520894,,0.598129362219002,6.044457043126339e-06,0.12738918414870856
0.0078492935635792,0.3107933165738817,,0.3107931909801413,3.7570738832224624e-06,0.06161140944724584
0.0054585152838427,0.1545035266046405,,0.1545034494631433,2.020822714035063e-06,0.02979538910394435
0.003793626707132,0.0761494914875172,,0.0761494762130394,6.934081699328245e-07,0.014391603593065183
0.0026371308016877,0.0381853135966696,,0.0381853125896512,8.791992971107307e-08,0.006954458865210011
0.00183284457478,0.0189573499412514,,0.0189573499033457,6.538981771664011e-09,0.003359319235300479
0.0012742099898063,0.0095212073453387,,0.0095212073443979,8.744983811723077e-11,0.001623611098122171
0.0008858965272856,0.0047930047643727,,0.0047930047639587,3.498445509550644e-12,0.0007848126570566858
0.0006158393890873,0.0024277049994179,,0.0024277049980712,4.949590751959303e-12,0.0003792581531514189
0.0004281188457915,0.0012383165478643,,0.0012383165463329,6.639920600590758e-12,0.00018328574612184616
0.0002976367640931,0.0006359429107591,,0.0006359429101774,9.489916354326366e-12,8.858764333981165e-05
0.0002069108214359,0.0003288394006126,,0.0003288394022243,1.675788928724876e-11,4.2812088027278896e-05
0.0001438434982738,0.0001712587699327,1e20,0.0001712587704275,2.837623468761953e-11,2.0690951995644707e-05
0.0001,8.976149892742829e-05,4.887755585360682e-05,8.976149929720502e-05,5.1224420390042165e-11,1e-05
