tau,CN H1L2 relative error,leapfrog H1L2 relative error,DS H1L2 relative error,DS - CN H1L2 relative error,DSTLP H1L2 relative error,DSTLP - CN H1L2 relative error,O(tau^2),old DS CFL tau estimate
0.1,1.1105383460485696,inf,1.9060983677194719e+46,1.9060983677194724e+46,1.2310422305309474,0.2902932601204488,10.000000000000002,0.001
0.0694444444444444,1.590387593645334,,1.4630084539867191e+63,1.4630084539867193e+63,1.7034653320366926,0.2506650822909786,4.8225308641975255,0.001
0.0485436893203883,1.4187181348054212,,4.612141133699059e+83,4.612141133699059e+83,1.442845788580054,0.1409942258701367,2.3564897728343808,0.001
0.0335570469798657,1.4495188517596294,,1.3234858043239065e+107,1.323485804323906e+107,1.420118514811736,0.1218491789024324,1.1260754020089139,0.001
0.0233644859813084,1.360167207933739,,2.0288790467489844e+126,2.028879046748985e+126,1.3141413817163463,0.1373001220605894,0.5458992051707567,0.001
0.0162337662337662,1.0321098874621208,,6.116148443905131e+120,6.116148443905124e+120,1.0034079725480642,0.1151690283706947,0.26353516613256767,0.001
0.0112866817155756,0.6002881105010104,,3.498984045165694e+77,3.498984045165684e+77,0.5899969471895391,0.0855838006645127,0.12738918414870856,0.001
0.0078492935635792,0.3133683143475487,,7.427011095554182e+56,7.42701109555414e+56,0.3119926075026594,0.046291236240866,0.06161140944724584,0.001
0.0054585152838427,0.1572782824189995,,2.7515843069603887e+26,2.7515843069603804e+26,0.1573589920333341,0.0180362756233349,0.02979538910394435,0.001
0.003793626707132,0.0789968468578273,,0.0798570067511368,0.0117279099431544,0.0790251740425062,0.0050514620705028,0.014391603593065183,0.001
0.0026371308016877,0.0412092310610656,,0.0412088117937641,2.633412006946928e-06,0.0412062139390547,0.0007294150855399,0.006954458865210011,0.001
0.00183284457478,0.0223053321083359,,0.0223053180415345,1.1621538587406308e-07,0.0223050796177988,5.330133673322762e-05,0.003359319235300479,0.001
0.0012742099898063,0.0132311776769912,,0.0132311774586517,2.1932188342924966e-09,0.0132311734516061,2.414614085766584e-06,0.001623611098122171,0.001
0.0008858965272856,0.008958935002466,1e+20,0.0089589350010381,2.601878324541038e-11,0.008958935012944,1.3773917847766812e-08,0.0007848126570566858,0.001
0.0006158393890873,0.0070542200785857,0.0048921452087469,0.0070542200787316,2.419473393026495e-12,0.0070542200788966,3.4480644073099576e-11,0.0003792581531514189,0.001
0.0004281188457915,0.006204758157896,0.0051852305248421,0.0062047581547586,9.580629935255022e-12,0.0062047581546225,9.720458927046492e-12,0.00018328574612184616,0.001
0.0002976367640931,0.0058265637846597,0.0053434279094242,0.0058265637868091,9.156763169821607e-12,0.0058265637865929,9.204027417690583e-12,8.858764333981165e-05,0.001
0.0002069108214359,0.0056540178145462,0.0054228422217103,0.0056540178172079,2.171699044570404e-11,0.0056540178171983,2.1770527049291147e-11,4.2812088027278896e-05,0.001
0.0001438434982738,0.0055730378680319,0.0054617935879749,0.0055730378684563,3.74815197957582e-11,0.0055730378684563,3.74815197957582e-11,2.0690951995644707e-05,0.001
0.0001,0.0055343927025321,0.0054807580138116,0.0055343927359427,1.1833883080997602e-10,0.0055343927359427,1.1833883080997602e-10,1e-05,0.001
