procs,cn_time_loop_s,cn_external_wall_s,cn_accounted_wall_s,cn_wall_step_s,cn_setup_s,cn_meshing_s,cn_rel_xh,dstlp_time_loop_s,dstlp_external_wall_s,dstlp_accounted_wall_s,dstlp_wall_step_s,dstlp_setup_s,dstlp_meshing_s,dstlp_rel_xh,dstlp_ell_p1,dstlp_ell_p2,dstlp_pred_ell
1,290.0541739463806,357.262675,356.5963928699493,0.2900541739463806,48.68472099304199,17.85749793052673,0.001593324508779419,,,,,,,,,,
2,323.9224050045013,362.887957,365.4740302562714,0.3239224050045014,20.00989651679993,21.54172873497009,0.001593324695092732,149.8471772670746,190.605654,212.563648223877,0.1498471772670746,16.80851101875305,45.90795993804932,0.001593331958675718,2,1,3
4,180.8127036094666,213.71911,217.4901125431061,0.1808127036094666,17.75513696670532,18.9222719669342,0.001593321599810376,88.86272192001343,110.735096,143.4544403553009,0.08886272192001343,5.627501249313354,48.96421718597412,0.001593328272209939,2,1,3
8,93.55069231987,130.009553,126.6964366436005,0.09355069231987,13.83457446098328,19.31116986274719,0.001593321566281161,47.15322852134705,65.617716,93.13226962089539,0.04715322852134705,1.816628694534302,44.16241240501404,0.001593328298942379,2,1,3
16,67.74090504646301,96.493657,99.28376865386963,0.06774090504646302,12.33128952980042,19.2115740776062,0.001593322423995765,36.96525573730469,54.641666,84.03399181365967,0.03696525573730469,0.714348316192627,46.35438776016235,0.00159332955775885,2,1,3
24,46.12355947494507,75.48795699999999,74.87087416648865,0.04612355947494507,10.75485396385193,17.99246072769165,0.001593319829651358,19.08672165870667,38.346326,63.05726671218872,0.01908672165870667,0.3515703678131104,43.61897468566895,0.001593326954408438,2,1,3
32,49.80610299110413,77.51360099999999,81.87842011451721,0.04980610299110413,11.95089364051819,20.1214234828949,0.001593319912286042,21.13827800750732,40.404868,72.69466638565063,0.02113827800750732,0.289238452911377,51.26714992523193,0.00159332801800188,2,1,3
40,39.76878714561462,66.989964,68.54393982887268,0.03976878714561462,10.43404483795166,18.3411078453064,0.00159331938085648,16.26161241531372,39.014485,64.8255512714386,0.01626161241531372,0.1917147636413574,48.37222409248352,0.001593328898518265,2,1,3
52,39.24768233299255,74.409128,69.61767745018005,0.03924768233299256,10.41816544532776,19.95182967185974,0.001593318513979137,12.54107570648193,39.241461,63.19510173797607,0.01254107570648193,0.1566445827484131,50.49738144874573,0.001593327107478704,2,1,3
64,34.61680197715759,77.746242,65.30431795120239,0.03461680197715759,10.87486457824707,19.81265139579773,0.001593320702351693,10.66274929046631,61.147775,62.16725087165833,0.01066274929046631,0.1513612270355225,51.35314035415649,0.001593330237620764,2,1,3
