procs,cn_time_loop_s,cn_external_wall_s,cn_accounted_wall_s,cn_wall_step_s,cn_setup_s,cn_meshing_s,cn_rel_xh,dstlp_time_loop_s,dstlp_external_wall_s,dstlp_accounted_wall_s,dstlp_wall_step_s,dstlp_setup_s,dstlp_meshing_s,dstlp_rel_xh,dstlp_ell_p1,dstlp_ell_p2,dstlp_pred_ell
1,2117.01101064682,2143.335033,2145.166073322296,2.11701101064682,3.467576742172241,24.68748593330383,0.001593324533515329,,,,,,,,,,
2,1228.65744304657,1242.911473,1255.786366224289,1.22865744304657,3.449958562850952,23.67896461486816,0.0015933247205098,934.6994709968567,969.790424,988.3964152336121,0.9346994709968567,1.753167629241943,51.94377660751343,0.001593331798470476,2,1,3
4,672.2831335067749,685.735803,695.7415838241577,0.6722831335067749,1.603904247283936,21.85454607009888,0.001593321625935921,595.260479927063,618.020043,646.6398148536682,0.595260479927063,0.8776721954345703,50.50166273117065,0.001593328005562714,2,1,3
8,347.3140470981598,358.79972,369.2719326019287,0.3473140470981598,0.8696203231811523,21.08826518058777,0.00159332155444129,402.5613503456116,425.032432,453.562641620636,0.4025613503456116,0.488347053527832,50.51294422149658,0.001593328196276732,2,1,3
16,208.0292518138885,228.388487,227.1610488891602,0.2080292518138885,0.6721997261047363,18.45959734916687,0.001593322477743184,262.4747588634491,281.206187,307.4727437496185,0.2624747588634491,0.2201390266418457,44.77784585952759,0.001593329300571405,2,1,3
24,108.0441424846649,125.578407,126.9930634498596,0.1080441424846649,0.4490799903869629,18.49984097480774,0.001593319818948754,141.5452585220337,158.931258,187.1186587810516,0.1415452585220337,0.1700809001922607,45.40331935882568,0.00159332681973837,2,1,3
32,74.24010562896729,95.06479299999999,93.25353336334229,0.07424010562896728,0.3907952308654785,18.62263250350952,0.001593319947113733,101.9113774299622,121.988369,147.3090009689331,0.1019113774299622,0.1516618728637695,45.24596166610718,0.001593328237157466,2,1,3
40,78.93734288215637,100.859527,99.26117849349976,0.07893734288215637,0.4634730815887451,19.86036252975464,0.001593319400469879,108.208829164505,132.864683,156.5071547031403,0.108208829164505,0.125648021697998,48.17267751693726,0.001593327121117557,2,1,3
52,57.50926184654236,82.087547,77.87939310073853,0.05750926184654236,0.4938180446624756,19.87631320953369,0.001593318563663759,78.98374199867249,106.722134,129.0010497570038,0.07898374199867249,0.09226107597351074,49.92504668235779,0.001593327617865595,2,1,3
64,46.9732403755188,71.483767,67.23047566413879,0.0469732403755188,0.2020516395568848,20.05518364906311,0.001593320715657515,65.09998345375061,95.72976800000001,115.2252309322357,0.06509998345375061,0.09232187271118164,50.03292560577393,0.001593329696024764,2,1,3
