tau,cn_time_loop_s,cn_external_wall_s,cn_wall_step_s,cn_setup_s,cn_submeshing_s,cn_global_meshing_s,cn_rel_xh,cn_rel_l2_u,cn_rel_h1_u,cn_rel_l2_v,cn_h,cn_degree,dstlp_time_loop_s,dstlp_external_wall_s,dstlp_wall_step_s,dstlp_setup_s,dstlp_submeshing_s,dstlp_global_meshing_s,dstlp_rel_xh,dstlp_rel_l2_u,dstlp_rel_h1_u,dstlp_rel_l2_v,dstlp_h,dstlp_degree,dstlp_pred_ell,lf_time_loop_s,lf_external_wall_s,lf_wall_step_s,lf_setup_s,lf_submeshing_s,lf_global_meshing_s,lf_rel_xh,lf_rel_l2_u,lf_rel_h1_u,lf_rel_l2_v,lf_h,lf_degree
0.01,3.484580516815185,35.035752,0.0348458051681518,10.03388071060181,44.08547258377075,20.10304188728333,0.1278681823864188,0.0580553651491973,0.1267797054232508,0.1294883470738283,0.002,2,2.223397016525269,106.371652,0.0222339701652526,0.2531554698944092,93.49924492836,20.14713501930237,0.2435272505359679,0.2000537916213278,0.2566721722652936,0.2222939773082198,0.002,2,14,0.2271442413330078,21.640935,0.00227144241333,0.4743785858154297,42.53872346878052,20.1002733707428,1.116272835887157,1.000000690799766,1.187281467854781,1.000001498233283,0.002,1
0.0059880239520958,5.480262041091919,37.077621,0.0328159403658198,9.807987451553345,42.04161739349365,20.06782102584839,0.0479598276249511,0.0211597168034555,0.0475245954183466,0.0486072082324296,0.002,2,2.530791282653809,44.396791,0.0151544388182862,0.1556770801544189,71.51419901847839,20.21575546264648,0.1135380124240909,0.0946238202523198,0.1204200193916733,0.1023171657230352,0.002,2,8,0.2201569080352783,22.227307,0.0013183048385346,0.2945160865783691,43.67708206176758,20.12011790275574,1.116272835887157,1.000000690799766,1.187281467854781,1.000001498233283,0.002,1
0.0035971223021582,9.254774808883669,41.053336,0.033290556866488,9.922803640365601,43.15005278587341,20.12662601470948,0.0180355917638989,0.0076844291307754,0.0177749345082522,0.0184207528777795,0.002,2,3.819366693496704,36.948799,0.0137387291132974,0.1477015018463134,64.74714112281799,20.32335615158081,0.0213162475243085,0.0126084369001383,0.0216721404070811,0.0207693933255948,0.002,2,6,0.3573734760284424,21.941899,0.0012855161008217,0.3162422180175781,42.43600082397461,20.18091464042664,1.116272835887157,1.000000690799766,1.187281467854781,1.000001498233283,0.002,1
0.0021551724137931,15.26293754577637,47.234573,0.0328942619521042,10.10416221618652,43.54075622558594,20.12886738777161,0.0067819572037575,0.0027660314131004,0.0066260390146212,0.0070099759486262,0.002,2,5.794246912002564,34.226005,0.0124876011034538,0.1347076892852783,53.87135672569275,20.20187187194824,0.006807179534014,0.0028058048271399,0.0066650478441443,0.00701556672529,0.002,2,4,0.5851192474365234,22.422407,0.0012610328608545,0.3023276329040527,42.52170395851135,20.15440225601196,1.116272835887157,1.000000690799766,1.187281467854781,1.000001498233283,0.002,1
0.0012919896640826,26.60598921775818,59.23442,0.0343746630720389,10.44914078712463,43.25958728790283,20.14631915092468,0.0025762316350415,0.0009951507149044,0.0024882795118008,0.0027031532439177,0.002,2,8.165947914123535,35.605172,0.0105503203024851,0.1199884414672851,49.86755132675171,20.19640898704529,0.0025762504322938,0.0009951521920821,0.002488326934154,0.0027031324401811,0.002,2,3,0.9499218463897704,22.133732,0.0012272892072219,0.2855207920074463,43.4263334274292,20.07111358642578,1.116272835887157,1.000000690799766,1.187281467854781,1.000001498233283,0.002,1
0.0007739938080495,44.08426856994629,76.72034499999999,0.0341209509055311,10.4259078502655,43.5161292552948,20.14038348197937,0.0009881880076194,0.0003571277059758,0.0009414179989438,0.0010546446409081,0.002,2,13.9179356098175,41.38043,0.0107723959828308,0.1106331348419189,51.15050077438354,20.20541906356812,0.0009882020093716999,0.0003571277030002,0.0009414430178861,0.0010546439003339,0.002,2,3,1.677616119384766,23.405792,0.0012984644886878,0.3016712665557861,42.53253722190857,20.23326921463013,0.0142044050986916,0.000720355259847,0.0182544309732631,0.0020027226298728,0.002,1
0.000464252553389,72.01921486854553,104.123609,0.0334351043957964,10.44004964828491,43.07607340812683,20.05850219726562,0.000383402698834,0.0001282617069175,0.0003603512306281,0.0004156781395992,0.002,2,23.17968916893005,51.438229,0.0107612298834401,0.1228835582733154,50.15245413780213,20.21565914154053,0.0003834589868696,0.0001282776918091,0.0003604661574331,0.0004156582683401,0.002,2,3,2.717620849609375,24.187557,0.0012616624185744,0.29598069190979,43.40837359428406,20.11494708061218,0.014244800831026,0.0008336605910882,0.0182839304309235,0.0022950987876139,0.002,1
0.0002782415136338,122.0503973960876,153.606869,0.0339594873110984,10.30700969696045,43.87604594230652,20.0582480430603,0.0001445351008763,4.5801419667159e-05,0.0001340762744895,0.0001589775241989,0.002,2,40.90974950790405,68.90150800000001,0.0113827906254602,0.10447359085083,50.6730546951294,20.33973026275635,0.0001453470248397,4.729809456327643e-05,0.0001353149006776,0.0001592523890666,0.002,2,3,4.904647350311279,26.595877,0.0013646765025907,0.2930810451507568,44.09114503860474,20.125559091568,0.0142606068147181,0.0008745186535345,0.0182955068888033,0.0023997488532111,0.002,1
0.0001668056713928,203.3280923366546,235.40711,0.0339162789552384,10.30538940429688,42.71049642562866,20.20963597297668,6.083472725347082e-05,1.619473938726163e-05,6.580490122902191e-05,5.247880325782903e-05,0.002,2,64.88898420333862,93.32466700000001,0.0108238505760364,0.1230473518371582,51.44991207122803,20.19925022125244,6.963891762556265e-05,3.344911042863233e-05,7.529848444753512e-05,6.013007252388552e-05,0.002,2,3,7.78852105140686,29.463679,0.001299169483137,0.2913994789123535,43.45032644271851,20.08609342575073,0.0142664443137186,0.0008891960304801,0.0182997867333494,0.0024372567564572,0.002,1
0.0001,340.1241729259491,374.333129,0.0340124172925949,10.36200714111328,43.31308054924011,20.12069010734558,5.032076180320215e-05,5.57788542397858e-06,5.862271227521199e-05,3.422898132988081e-05,0.002,2,110.3678455352783,139.557861,0.0110367845535278,0.1083364486694336,51.87760233879089,20.23215770721436,7.689431112892521e-05,5.159508216735677e-05,8.566329669273396e-05,6.138733383784211e-05,0.002,2,3,12.94795799255371,34.419616,0.0012947957992553,0.2901167869567871,41.74656009674072,20.15004944801331,0.0142685630230229,0.0008944717541152,0.0183013410578371,0.0024507232123841,0.002,1
